Y,X1,X2
B,9,0.8
B,7,0.9
B,10,1.0
A,12,0.4
A,8,0.6
A,15,0.7
A,12,0.9
A,13,1.0
B,14,0.7
B,10,0.9
B,8,1.0
B,11,1.1
A,10,0.6
A,6,0.8
A,13,0.9
A,10,1.1
A,11,1.2
B,12,0.6
B,8,0.8
B,6,0.9
B,9,1.0
A,11,0.4
A,7,0.6
A,14,0.7
A,11,0.9
A,12,1.0
B,13,0.6
B,9,0.8
B,7,0.9
B,10,1.0
A,12,0.3
A,8,0.5
A,15,0.6
A,12,0.8
A,13,0.9
B,14,0.5
B,10,0.7
B,8,0.8
B,11,0.9
A,10,0.4
A,6,0.6
A,13,0.7
A,10,0.9
A,11,1.0
B,12,0.4
B,8,0.6
B,6,0.7
B,9,0.8
A,11,0.3
A,7,0.5
A,14,0.6
A,11,0.8
A,12,0.9
B,13,0.3
B,9,0.5
B,7,0.6
B,10,0.7
A,13,0.2
A,9,0.4
A,16,0.5
A,13,0.7
A,14,0.8
B,15,0.4
B,11,0.6
B,9,0.7
B,12,0.8
A,10,0.5
A,6,0.7
A,13,0.8
A,10,1.0
A,11,1.1
B,12,0.5
B,8,0.7
B,6,0.8
B,9,0.9
A,12,0.4
A,8,0.6
A,15,0.7
A,12,0.9
A,13,1.0
B,14,0.4
B,10,0.6
B,8,0.7
B,11,0.8
A,11,0.3
A,7,0.5
A,14,0.6
A,11,0.8
A,12,0.9
B,13,0.2
B,9,0.4
B,7,0.5
B,10,0.6
A,12,0.1
A,8,0.3
A,15,0.4
A,12,0.6
A,13,0.7
B,14,0.3
B,10,0.5
B,8,0.6
B,11,0.7
A,10,0.4
A,6,0.6
A,13,0.7
A,10,0.9
A,11,1.0
B,12,0.4
B,8,0.6
B,6,0.7
B,9,0.8
A,11,0.3
A,7,0.5
A,14,0.6
A,11,0.8
A,12,0.9
B,13,0.2
B,9,0.4
B,7,0.5
B,10,0.6
A,13,0.1
B,13,0.6
B,9,0.8
B,7,0.9
B,10,1.0
A,12,0.3
A,8,0.5
A,15,0.6
A,12,0.8
A,13,0.9
B,14,0.5
B,10,0.7
B,8,0.8
B,11,0.9
A,10,0.4
A,6,0.6
A,13,0.7
A,10,0.9
A,11,1.0
B,12,0.4
B,8,0.6
B,6,0.7
B,9,0.8
A,11,0.3
A,7,0.5
A,14,0.6
A,11,0.8
A,12,0.9
B,13,0.3
B,9,0.5
B,7,0.6
B,10,0.7
A,13,0.2
A,9,0.4
A,16,0.5
A,13,0.7
A,14,0.8
B,15,0.4
B,11,0.6
B,9,0.7
B,12,0.8
A,10,0.5
A,6,0.7
A,13,0.8
A,10,1.0
A,11,1.1
B,12,0.5
B,8,0.7
B,6,0.8
B,9,0.9
A,12,0.4
A,8,0.6
A,15,0.7
A,12,0.9
A,13,1.0
B,14,0.4
B,10,0.6
B,8,0.7
B,11,0.8
A,11,0.3
A,7,0.5
A,14,0.6
A,11,0.8
A,12,0.9
B,13,0.2
B,9,0.4
B,7,0.5
B,10,0.6
A,13,0.1
A,9,0.3
A,15,0.4
A,13,0.6
A,14,0.7
B,15,0.3
B,11,0.5
B,9,0.6
B,12,0.7
A,10,0.4
A,6,0.6
A,13,0.7
A,10,0.9
A,11,1.0
B,12,0.4
B,8,0.6
B,6,0.7
B,9,0.8
A,11,0.3
A,7,0.5
A,14,0.6
A,11,0.8
A,12,0.9
B,13,0.2
B,9,0.4
